iter	RMSE
0	78008.00444
1	77326.0027
2	76748.2602
3	76262.50666
4	75849.39892
5	75511.94625
6	75224.08445
7	74962.19282
8	74743.9677
9	74561.72843
10	74396.58862
11	74255.48977
12	74141.80022
13	74040.52502
14	73955.20866
15	73864.82775
16	73766.50735
17	73700.92265
18	73630.52745
19	73568.12881
20	73520.69133
21	73466.59775
22	73427.43197
23	73379.41829
24	73348.01959
25	73308.85274
26	73270.32206
27	73236.35507
28	73217.96602
29	73191.14048
30	73164.58174
31	73128.37982
32	73105.98154
33	73086.01385
34	73073.41891
35	73053.24977
36	73031.73815
37	73012.30982
38	72989.08896
39	72968.57054
40	72940.06612
41	72921.11408
42	72895.5213
43	72885.2701
44	72859.72692
45	72848.47068
46	72832.28679
47	72822.78907
48	72801.67314
49	72785.50294
50	72774.69633
51	72748.42244
52	72735.28407
53	72719.27354
54	72706.14362
55	72691.02769
56	72680.8722
57	72660.82478
58	72649.88924
59	72637.6699
60	72625.23449
61	72606.77013
62	72589.15734
63	72578.7711
64	72566.33189
65	72556.84103
66	72536.89541
67	72527.33277
68	72518.94934
69	72509.7862
70	72505.42741
71	72483.44816
72	72465.36881
73	72440.43311
74	72430.24067
75	72418.13878
76	72412.0667
77	72393.15786
78	72364.7839
79	72348.31245
80	72332.36617
81	72329.07399
82	72317.20216
83	72311.53201
84	72292.85536
85	72286.35028
86	72273.10321
87	72262.39547
88	72254.4507
89	72240.39906
90	72234.05016
91	72225.84778
92	72208.16532
93	72189.56923
94	72180.95268
95	72170.14137
96	72162.84728
97	72158.25324
98	72152.5018
99	72143.73425
100	72129.37818
101	72120.86235
102	72109.22374
103	72091.56639
104	72076.10938
105	72065.22916
106	72060.25042
107	72041.28543
108	72026.24592
109	72021.13034
110	71996.71988
111	71985.22182
112	71979.82942
113	71962.85204
114	71951.48337
115	71944.09092
116	71941.14173
117	71925.98094
118	71919.03399
119	71910.34419
120	71903.4637
121	71893.37152
122	71875.58225
123	71860.83331
124	71850.71628
125	71832.48673
126	71816.76507
127	71799.68857
128	71792.09304
129	71772.85401
130	71768.19627
131	71752.64663
132	71737.94813
133	71732.90812
134	71717.72156
135	71710.72041
136	71691.02983
