iter	Passed	Remaining
0	328	328407
1	487	243234
2	660	219621
3	822	204686
4	990	197114
5	1149	190473
6	1324	187893
7	1477	183260
8	1629	179404
9	1801	178312
10	1959	176136
11	2125	174961
12	2279	173061
13	2436	171623
14	2601	170840
15	2772	170531
16	2924	169102
17	3091	168670
18	3263	168478
19	3439	168530
20	3648	170109
21	3812	169504
22	3988	169420
23	4140	168361
24	4315	168288
25	4494	168375
26	4646	167442
27	4786	166147
28	4963	166207
29	5120	165554
30	5313	166088
31	5480	165788
32	5636	165153
33	5801	164824
34	5952	164109
35	6126	164050
36	6289	163687
37	6437	162968
38	6585	162267
39	6742	161808
40	6907	161564
41	7076	161409
42	7258	161543
43	7406	160921
44	7575	160769
45	7717	160063
46	7875	159685
47	8048	159632
48	8212	159396
49	8391	159434
50	8579	159652
51	8732	159203
52	8924	159464
53	9093	159298
54	9242	158798
55	9400	158459
56	9578	158469
57	9743	158240
58	9911	158083
59	10067	157726
60	10238	157609
61	10401	157365
62	10568	157180
63	10718	156751
64	10876	156458
65	11056	156462
66	11230	156391
67	11378	155956
68	11561	155994
69	11711	155591
70	11861	155197
71	12023	154970
72	12195	154869
73	12363	154708
74	12518	154394
75	12695	154355
76	12866	154233
77	13041	154155
78	13191	153792
79	13365	153705
80	13537	153593
81	13720	153599
82	13869	153235
83	14028	152973
84	14183	152679
85	14348	152494
86	14499	152165
87	14670	152037
88	14847	151983
89	14999	151663
90	15183	151672
91	15330	151308
92	15496	151137
93	15681	151144
94	15844	150939
95	16039	151034
96	16204	150853
97	16351	150504
98	16532	150461
99	16718	150470
100	16879	150243
101	17052	150124
102	17214	149915
103	17372	149674
104	17527	149405
105	17690	149197
106	17858	149042
107	18011	148763
108	18193	148719
109	18365	148593
110	18533	148434
111	18709	148336
112	18879	148195
113	19037	147955
114	19212	147853
115	19371	147624
116	19515	147282
117	19688	147163
118	19862	147049
119	20028	146878
120	20178	146585
121	20356	146499
122	20511	146245
123	20681	146107
124	20874	146124
125	21055	146052
126	21224	145899
127	21388	145708
128	21562	145588
129	21733	145447
130	21893	145234
131	22056	145039
132	22207	144766
133	22375	144604
134	22537	144405
135	22712	144290
136	22870	144065
137	23039	143916
138	23210	143769
139	23394	143708
140	23558	143524
141	23736	143423
142	23892	143190
143	24057	143008
144	24227	142859
145	24413	142804
146	24586	142669
147	24750	142482
148	24931	142396
149	25114	142314
150	25260	142028
151	25437	141913
152	25598	141710
153	25773	141586
154	25958	141517
155	26154	141501
156	26305	141247
157	26498	141212
158	26657	140997
159	26811	140762
160	26987	140635
161	27158	140484
162	27331	140346
163	27498	140174
164	27662	139989
165	27813	139736
166	27984	139586
167	28169	139506
168	28355	139427
169	28505	139173
170	28674	139014
171	28859	138928
172	29031	138781
173	29212	138674
174	29371	138464
175	29545	138328
176	29728	138229
177	29908	138115
178	30090	138010
179	30248	137799
180	30410	137601
181	30596	137515
182	30768	137363
183	30937	137199
184	31099	137005
185	31270	136849
186	31465	136800
187	31641	136664
188	31823	136554
189	32009	136461
190	32196	136372
191	32391	136315
192	32553	136118
193	32737	136011
194	32930	135945
195	33084	135715
196	33258	135566
197	33432	135417
198	33592	135212
199	33761	135045
200	33913	134812
201	34097	134700
202	34265	134530
203	34418	134299
204	34576	134087
205	34736	133887
206	34917	133764
207	35082	133584
208	35242	133381
209	35403	133183
210	35563	132983
211	35731	132811
212	35906	132670
213	36097	132582
214	36274	132442
215	36460	132336
216	36637	132199
217	36806	132032
218	36988	131909
219	37160	131752
220	37340	131619
221	37490	131385
222	37648	131179
223	37804	130966
224	37978	130814
225	38134	130603
226	38299	130419
227	38454	130205
228	38633	130070
229	38801	129899
230	38982	129773
231	39148	129593
232	39341	129505
233	39513	129348
234	39666	129127
235	39858	129032
236	40016	128828
237	40200	128709
238	40410	128669
239	40553	128418
240	40736	128295
241	40934	128216
242	41109	128065
243	41264	127850
244	41411	127615
245	41594	127488
246	41764	127322
247	41915	127099
248	42121	127039
249	42263	126791
250	42454	126685
251	42634	126549
252	42809	126397
253	42960	126176
254	43128	126003
255	43309	125866
256	43460	125646
257	43634	125491
258	43800	125314
259	43954	125102
260	44147	124999
261	44326	124858
262	44509	124728
263	44705	124633
264	44890	124507
265	45059	124336
266	45246	124215
267	45421	124062
268	45589	123886
269	45756	123711
270	45932	123559
271	46090	123358
272	46267	123211
273	46445	123063
274	46623	122916
275	46800	122767
276	46988	122644
277	47167	122499
278	47357	122382
279	47542	122250
280	47712	122082
281	47889	121930
282	48063	121771
283	48223	121578
284	48374	121360
285	48525	121144
